100178,ST_VOICE_MT,Voice Mobile
100179,ST_VOICE_MT_INTL,Voice Mobile International
100180,ST_VOICE_INTL_FREE,Voice Mobile International Free
100181,ST_VOICE_PREMIUM,Voice Premium
100182,ST_VOICE_PREMIUM_INTL,Vocie Premium International
100183,ST_VOICE_INTERNET,Voice Internet
100184,ST_VOICE_VOIP,Voip
100185,ST_VOICE_DQ,Directory Enquiries
100186,ST_VOICE_LOW_CALL,Voice Low-Call
100187,ST_VOICE_NGN,NGN
100188,ST_VOICE_PROMOTIONAL,Voice Promotional
100189,ST_VOICE_ANCILIARY,Anciliary
100190,ST_VOICE_INBOUND,Voice Inbound
100191,ST_SUSPENSE,Suspense
100192,ST_VOICE_SUSPENSE,Voice Suspense
100193,ST_VOICE_AGED,Voice Suspense Aged
100194,ST_VOICE_EXPIRING,Voice Suspense About to Expire
100195,ST_VOICE_DISCARDED,Voice Discarded
100196,ST_DISCARDED,Discarded CDR
100197,ST_SMS_IN_BUNDLE,SMS In Bundle
100198,ST_SMS_OUT_BUNDLE,SMS Out of Bundle
100199,ST_DATA_IN_BUNDLE,Data In Bundle
100200,ST_DATA_OUT_BUNDLE,Data Out of Bundle
100201,ST_MMS_IN_BUNDLE,MMS In Bundle
100202,ST_MMS_OUT_BUNDLE,MMS Out of Bundle
100203,ST_OTHER_SUSPENSE,Other Suspense
100204,ST_OTHER_DISCARDED,Other Discarded
100210,ST_DATA_STRIP,Stripped Data
100211,ST_DATA_GPRS_OUTBOUND_ROAMERS_STRIP,Stripped Data GPRS Roamers
100212,ST_DATA_WAP_OUTBOUND_ROAMERS_STRIP,Stripped Data WAP Roamers
100213,ST_DATA,Data
