100057,CURRENTDIR,100601,"concat(concat(:currentDir,'/'),:edrFileName)""
100057,EDRFILENAME,100602,
100057,NEID,100603,
100057,UMIDENTIFIER,100604,
100057,USAGETYPE,100605,
100057,TIMESLOT,100606,"to_date(:timeslot,'YYYYMMDDHH24')"
100057,SERVICETYPE,100607,
100057,EVENTCOUNT,100608,
100057,SUMDURATION,100609,
100057,SUMBYTES,100610,
100057,SUMVALUE,100611,
100079,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100079,CURRENTDIR,100700,"concat(concat(:currentDir,'/'),:edrFileName)""
100079,EDRFILENAME,100701,
100079,NEID,100702,
100079,UMIDENTIFIER,100703,
100079,USAGETYPE,100704,
100079,TIMESLOT,100705,"to_date(:timeslot,'YYYYMMDDHH24')"
100079,SERVICETYPE,100706,
100079,EVENTCOUNT,100707,
100079,SUMDURATION,100708,
100079,SUMBYTES,100709,
100079,SUMVALUE,100710,
100080,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100080,CURRENTDIR,100712,"concat(concat(:currentDir,'/'),:edrFileName)""
100080,EDRFILENAME,100713,
100080,NEID,100714,
100080,UMIDENTIFIER,100715,
100080,USAGETYPE,100716,
100080,TIMESLOT,100717,"to_date(:timeslot,'YYYYMMDDHH24')"
100080,SERVICETYPE,100718,
100080,EVENTCOUNT,100719,
100080,SUMDURATION,100720,
100080,SUMBYTES,100721,
100080,SUMVALUE,100722,
100081,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100081,CURRENTDIR,100724,"concat(concat(:currentDir,'/'),:edrFileName)""
100081,EDRFILENAME,100725,
100081,NEID,100726,
100081,UMIDENTIFIER,100727,
100081,USAGETYPE,100728,
100081,TIMESLOT,100729,"to_date(:timeslot,'YYYYMMDDHH24')"
100081,SERVICETYPE,100730,
100081,EVENTCOUNT,100731,
100081,SUMDURATION,100732,
100081,SUMBYTES,100733,
100081,SUMVALUE,100734,
100090,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100090,CURRENTDIR,109000,"concat(concat(:currentDir,'/'),:edrFileName)""
100090,EDRFILENAME,109001,
100090,NEID,109002,
100090,UMIDENTIFIER,109003,
100090,USAGETYPE,109004,
100090,TIMESLOT,109005,"to_date(:timeslot,'YYYYMMDDHH24')"
100090,SERVICETYPE,109006,
100090,EVENTCOUNT,109007,
100090,SUMDURATION,109008,
100090,SUMBYTES,109009,
100090,SUMVALUE,109010,
100091,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100091,CURRENTDIR,109100,"concat(concat(:currentDir,'/'),:edrFileName)""
100091,EDRFILENAME,109101,
100091,NEID,109102,
100091,UMIDENTIFIER,109103,
100091,USAGETYPE,109104,
100091,TIMESLOT,109105,"to_date(:timeslot,'YYYYMMDDHH24')"
100091,SERVICETYPE,109106,
100091,EVENTCOUNT,109107,
100091,SUMDURATION,109108,
100091,SUMBYTES,109109,
100091,SUMVALUE,109110,
100092,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100092,CURRENTDIR,109200,"concat(concat(:currentDir,'/'),:edrFileName)""
100092,EDRFILENAME,109201,
100092,NEID,109202,
100092,UMIDENTIFIER,109203,
100092,USAGETYPE,109204,
100092,TIMESLOT,109205,"to_date(:timeslot,'YYYYMMDDHH24')"
100092,SERVICETYPE,109206,
100092,EVENTCOUNT,109207,
100092,SUMDURATION,109208,
100092,SUMBYTES,109209,
100092,SUMVALUE,109210,
100093,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
100093,CURRENTDIR,109300,"concat(concat(:currentDir,'/'),:edrFileName)""
100093,EDRFILENAME,109301,
100093,NEID,109302,
100093,UMIDENTIFIER,109303,
100093,USAGETYPE,109304,
100093,TIMESLOT,109305,"to_date(:timeslot,'YYYYMMDDHH24')"
100093,SERVICETYPE,109306,
100093,EVENTCOUNT,109307,
100093,SUMDURATION,109308,
100093,SUMBYTES,109309,
100093,SUMVALUE,109310,
100094,CURRENTDIR,109400,"concat(concat(:currentDir,'/'),:edrFileName)"
100094,EDRFILENAME,109401,
100094,EVENTCOUNT,109407,
100094,NEID,109402,
100094,PROCESSDATE,,get_process_date_from_filename('[FILENAME]')
100094,SERVICETYPE,109406,
100094,SUMBYTES,109409,
100094,SUMDURATION,109408,
100094,SUMVALUE,109410,
100094,TIMESLOT,109405,"to_date(:timeslot,'YYYYMMDDHH24')"
100094,UMIDENTIFIER,109403,
100094,USAGETYPE,109404,
100095,CURRENTDIR,109500,"concat(concat(:currentDir,'/'),:edrFileName)"
100095,EDRFILENAME,109501,
100095,EVENTCOUNT,109507,
100095,NEID,109502,
100095,PROCESSDATE,,get_process_date_from_filename('[FILENAME]')
100095,SERVICETYPE,109506,
100095,SUMBYTES,109509,
100095,SUMDURATION,109508,
100095,SUMVALUE,109510,
100095,TIMESLOT,109505,"to_date(:timeslot,'YYYYMMDDHH24')"
100095,UMIDENTIFIER,109503,
100095,USAGETYPE,109504,
100096,CURRENTDIR,109600,"concat(concat(:currentDir,'/'),:edrFileName)"
100096,EDRFILENAME,109601,
100096,EVENTCOUNT,109607,
100096,NEID,109602,
100096,PROCESSDATE,,get_process_date_from_filename('[FILENAME]')
100096,SERVICETYPE,109606,
100096,SUMBYTES,109609,
100096,SUMDURATION,109608,
100096,SUMVALUE,109610,
100096,TIMESLOT,109605,"to_date(:timeslot,'YYYYMMDDHH24')"
