100208,100081,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100209,100081,5017,INIT,10,,
100210,100081,5007,POST,20,,
100211,100081,5001,POST,30,il_success_dir gdl/accepted/DS72 il_reject_dir gdl/rejected/DS72,
100212,100081,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
109003,100090,5017,INIT,10,,
109002,100090,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
109001,100090,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds73 -scn sql -et U,
109004,100090,5007,POST,20,,
109005,100090,5001,POST,30,il_success_dir gdl/accepted/ds73 il_reject_dir gdl/rejected/ds73,
109006,100090,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
109103,100091,5017,INIT,10,,
109102,100091,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
109101,100091,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds74 -scn sql -et U,
109104,100091,5007,POST,20,,
109105,100091,5001,POST,30,il_success_dir gdl/accepted/ds74 il_reject_dir gdl/rejected/ds74,
109106,100091,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
109203,100092,5017,INIT,10,,
109202,100092,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
109201,100092,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds75 -scn sql -et U,
109204,100092,5007,POST,20,,
109205,100092,5001,POST,30,il_success_dir gdl/accepted/ds75 il_reject_dir gdl/rejected/ds75,
109206,100092,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
109303,100093,5017,INIT,10,,
109302,100093,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
109301,100093,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds76 -scn sql -et U,
109304,100093,5007,POST,20,,
109305,100093,5001,POST,30,il_success_dir gdl/accepted/ds76 il_reject_dir gdl/rejected/ds76,
109306,100093,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
109401,100094,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds21 -scn sql -et U,
109402,100094,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
109403,100094,5017,INIT,10,,
109404,100094,5007,POST,20,,
